TF,candidate_group,contrast_key,contrast_label,contrast_biological,timepoint,status,direction,qualifying_source,source_prefix,in_assay_universe
ZEB2,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,4h,failed_qc,,False,BTLAvsTCR,True
ZEB2,GENIE3_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,24h,failed_qc,,False,BTLAvsTCR,True
ZEB2,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,1h,source_unavailable_pending_model,,False,,True
ZEB2,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,4h,source_unavailable_pending_model,,False,,True
ZEB2,GENIE3_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,24h,source_unavailable_pending_model,,False,,True
AHR,GREmLN_specific,TCR_activation,TCR activation,TCR vs unstimulated control,1h,absent_from_assay_universe,,False,TCRvsUC,False
AHR,GREmLN_specific,TCR_activation,TCR activation,TCR vs unstimulated control,4h,absent_from_assay_universe,,False,TCRvsUC,False
AHR,GREmLN_specific,TCR_activation,TCR activation,TCR vs unstimulated control,24h,absent_from_assay_universe,,False,TCRvsUC,False
AHR,GREmLN_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,1h,absent_from_assay_universe,,False,BTLAvsTCR,False
AHR,GREmLN_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,4h,absent_from_assay_universe,,False,BTLAvsTCR,False
AHR,GREmLN_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,24h,absent_from_assay_universe,,False,BTLAvsTCR,False
AHR,GREmLN_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,1h,source_unavailable_pending_model,,False,,False
AHR,GREmLN_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,4h,source_unavailable_pending_model,,False,,False
AHR,GREmLN_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,24h,source_unavailable_pending_model,,False,,False
BCL3,GREmLN_specific,TCR_activation,TCR activation,TCR vs unstimulated control,1h,measured_no_qualifying_signal,,False,TCRvsUC,True
BCL3,GREmLN_specific,TCR_activation,TCR activation,TCR vs unstimulated control,4h,measured_no_qualifying_signal,,False,TCRvsUC,True
BCL3,GREmLN_specific,TCR_activation,TCR activation,TCR vs unstimulated control,24h,measured_no_qualifying_signal,,False,TCRvsUC,True
BCL3,GREmLN_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,1h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
BCL3,GREmLN_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,4h,measured_no_qualifying_signal,,False,BTLAvsTCR,True
BCL3,GREmLN_specific,Incremental_BTLA,Incremental BTLA,BTLA+TCR vs TCR,24h,failed_qc,,False,BTLAvsTCR,True
BCL3,GREmLN_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,1h,source_unavailable_pending_model,,False,,True
BCL3,GREmLN_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,4h,source_unavailable_pending_model,,False,,True
BCL3,GREmLN_specific,Combined_BTLA_TCR_vs_UC,Combined BTLA+TCR state,BTLA+TCR vs unstimulated control,24h,source_unavailable_pending_model,,False,,True
