tf,query,artifact,result_id,bytes,sha256
FOXP1,FOXP1 TCR inhibition,meta:PMC6534289,PMC6534289,7722,10c669bfe3d969507adfcaeac9df5ab48f2a53256d0403fee1dd76042db7d0a3
FOXP1,FOXP1 TCR inhibition,meta:PMC12462984,PMC12462984,2465,566d7bc3781a55070e5587c8bb378c8af521bf6ae9b9f9a6a2a91fdae8be63d2
FOXP1,FOXP1 TCR inhibition,meta:PMC4633965,PMC4633965,1994,061dd2ccbe919e2ce484f6967e10376ea37a3bcb48959f60f81eb5d33f594878
FOXP1,FOXP1 TCR inhibition,meta:PMC11729909,PMC11729909,1814,3f18aceaf23c0c60d5676fc5e16db36ad17f9d467023c94d19ad6c34c638e7ac
FOXP1,FOXP1 TCR inhibition,meta:PMC12487849,PMC12487849,2055,ecada040ee0f7f825fbe2b593ef95041041a293f1cec816b1e61c01693e28651
FOXP1,FOXP1 TCR inhibition,meta:PMC11724166,PMC11724166,2436,a527e685c7e9e39d23bae5868f973694db1dadcbf02fcb1d6a4b09742bf1ad03
FOXP1,FOXP1 TCR inhibition,meta:PMC13105002,PMC13105002,1545,7afc9422378416f9e25599a591580793c1cff5c8d500daef6759adacbca28ee5
GAR1,GAR1 TCR inhibition,search_stdout,s_e370cf1b,5549,9d8188147e4fb0f0510fbf3ec4f213bb9585b6cc4f38ea22212a57332ee5d522
GAR1,GAR1 TCR inhibition,meta:PMC12603805,PMC12603805,1283,0ace4d3814294a137e89262e39c574831c93d35d9deb314944cd72d08d483e1e
GAR1,GAR1 TCR inhibition,meta:PMC8978620,PMC8978620,1162,214021dd42bd63d6541babc2146bf946555c4950e21ab4dfed986d3b3a6f4db9
GAR1,GAR1 TCR inhibition,meta:PMC11237943,PMC11237943,2658,ef2b0971d60bede09b7647342f727212b14aa9cf139297173a4810e66570b283
GAR1,GAR1 TCR inhibition,meta:PMC4209802,PMC4209802,2097,9872160d8c25bd67ce6b8b8512085a424a72a63c86778471c47e9dd1e49aaed9
GAR1,GAR1 TCR inhibition,meta:PMC12346228,PMC12346228,2249,ba00994753d57c1ddb2974e1e7bd4944c1ccd9c546523991180552ffe0dfe12a
GAR1,GAR1 TCR inhibition,meta:PMC5587706,PMC5587706,1913,2e2689662dab4a92ec09b8be911cff2e348eb6184371efddd1b1df292e17ec89
GAR1,GAR1 TCR inhibition,meta:PMC11014665,PMC11014665,2299,8e6f2bea172ade3f2fdef67698f8f9a5e32ed30ef9bbf3047c7c340bfdd4aad3
GAR1,GAR1 TCR inhibition,meta:PMC8704919,PMC8704919,1224,488c7e939fd6d63f8f825e4d79f1de898919c51ab7d935352d32e683ba07b271
GAR1,GAR1 TCR inhibition,meta:PMC12261488,PMC12261488,1910,e306ecec769efec35a6b937270f0b2d49bd7d7495f63ea3d1bf6db9e6bab1a64
GAR1,GAR1 TCR inhibition,meta:PMC12934713,PMC12934713,2461,27b9150a3f24b37c44d3aa55c43de4863a29dcd493cd62902960a8e746bb5929
GTF2A2,GTF2A2 TCR inhibition,search_stdout,s_6155d08c,5801,a28e10c647c805a76f862ab638d8f5c672dec1bf25036d8fd807ce811aee785d
GTF2A2,GTF2A2 TCR inhibition,meta:PMC11237943,PMC11237943,2658,ef2b0971d60bede09b7647342f727212b14aa9cf139297173a4810e66570b283
GTF2A2,GTF2A2 TCR inhibition,meta:PMC11253514,PMC11253514,1630,d8160338a1b6d187c9cf8bc751907b774ae901c8dfcf49ddefa641c0e9897db0
GTF2A2,GTF2A2 TCR inhibition,meta:PMC12346228,PMC12346228,2249,ba00994753d57c1ddb2974e1e7bd4944c1ccd9c546523991180552ffe0dfe12a
GTF2A2,GTF2A2 TCR inhibition,meta:PMC4209802,PMC4209802,2097,9872160d8c25bd67ce6b8b8512085a424a72a63c86778471c47e9dd1e49aaed9
GTF2A2,GTF2A2 TCR inhibition,meta:PMC11014665,PMC11014665,2299,8e6f2bea172ade3f2fdef67698f8f9a5e32ed30ef9bbf3047c7c340bfdd4aad3
