TF,gremln_dense_rank,genie3_dense_rank,gremln_csls_rank,genie3_rank,in_gremln_top25,in_genie3_top25,candidate_group,canonical_full_name,hgnc_symbol,recognised_aliases,gremln_ranking_sha256,genie3_ranking_sha256
EZH2,1,31,1,31,True,False,GREmLN specific,EZH2,EZH2,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
GTF3C2,3,175,3,175,True,False,GREmLN specific,GTF3C2,GTF3C2,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
HIRIP3,2,112,2,112,True,False,GREmLN specific,HIRIP3,HIRIP3,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
HMGN3,2,163,2,163,True,False,GREmLN specific,HMGN3,HMGN3,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
KIF22,1,45,1,45,True,False,GREmLN specific,KIF22,KIF22,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
MLX,2,121,2,121,True,False,GREmLN specific,MLX,MLX,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
MSC,3,46,3,46,True,False,GREmLN specific,MSC,MSC,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
NFIL3,2,60,2,60,True,False,GREmLN specific,NFIL3,NFIL3,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
RBPJ,2,37,2,37,True,False,GREmLN specific,RBPJ,RBPJ,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
SNAPC4,2,154,2,154,True,False,GREmLN specific,SNAPC4,SNAPC4,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
SRP9,3,175,3,175,True,False,GREmLN specific,SRP9,SRP9,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
STAT4,2,111,2,111,True,False,GREmLN specific,STAT4,STAT4,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
STAU2,2,47,2,47,True,False,GREmLN specific,STAU2,STAU2,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
TFDP1,3,38,3,38,True,False,GREmLN specific,TFDP1,TFDP1,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
ZNF121,3,175,3,175,True,False,GREmLN specific,ZNF121,ZNF121,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
ZNF706,3,167,3,167,True,False,GREmLN specific,ZNF706,ZNF706,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
CREM,2,18,2,18,True,True,shared,CREM,CREM,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
IRF8,3,5,3,5,True,True,shared,IRF8,IRF8,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
JUNB,3,2,3,2,True,True,shared,JUNB,JUNB,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
PLAGL2,3,8,3,8,True,True,shared,PLAGL2,PLAGL2,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
PRDM1,3,25,3,25,True,True,shared,PRDM1,PRDM1,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
STAT1,2,6,2,6,True,True,shared,STAT1,STAT1,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
ZBTB32,3,9,3,9,True,True,shared,ZBTB32,ZBTB32,,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6
