TF,candidate_group,gremln_dense_rank,genie3_dense_rank,in_gremln_top25,in_genie3_top25,classA_independent_supportive,classA_independent_opposing,classA_independent_positive_unresolved,classB_orthogonal_supportive,classB_orthogonal_opposing,classB_orthogonal_positive,classC_contextual_supportive,classC_contextual_opposing,classC_contextual_positive,n_positive_layers_classA,n_positive_layers_classB,n_positive_layers_classC,n_measured_layers,n_not_measured_layers,strongest_independent_layer,strongest_contextual_layer,evidence_item_ids,independent_molecular_support_for_decision_rule,overall_audit_status
MDM2,GENIE3 specific,7,11,False,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,4b6ee73e927428f79e8a6ba27cfcfc14581e9fcd9dae8c85bfa6fdee967be6c9;4c62f37abf62462a595c7ed3107403ce8e63137eae29bdb63ad4f11711c2bda1;6abad1e46bcc9d7afd8855e0381bc6c962f68af4270f4fe601dad5f7e440a05d;0f7f8cb1f74b1a4f6eaa3e89a922be774c3b38de1d0f84731168cbc8eec7dca3;d89587122a4c752a5aa81589a5a98d14e0dd9bf3f7dd5095bd8a3b5c0c2a46e3;262bdf5ff8cd92ec37fa4c7db30f65fc474d9c4bfd19edca58af69aa4298d27d,False,no_qualifying_signal_in_evaluated_layers
MYC,GENIE3 specific,4,13,False,True,0,0,3,0,0,0,0,0,6,1,0,2,5,0,phosphoproteomics,tf_activity,d352805ae85c376bc9a3ab0b301034752223e61de6264353b8bbb2b1d41268eb;0838d3451b8d1ce03a2c4ae6d411128daf37b1f56628db06dc7058ec8d1cbc9f;dd72f74072ce4b7c9cd858ff738f110e71ae56d24db209a8fce3afe79aa5c462;68a1ee534a50ecca7692041745c8b125b5bb0cd10f0d7619d6d0384044fda5c3;8581626e27e39e5cad3ac37db7a9dd852623f041b98936ac19ae85b554b583e2;ea91cae82606050dc86b474a3d62a9a9b6024bad79a2c535844a244819bf6c6f;4e8759cb76f0fd98606cd91517c4522d714f4d747d6733eaea70a39332aae690;3a7c7e95a221e4abb71e8c83c48e1ca52727c409e57d1509cbb5bdf23fe4b27d;38b1f21062e2548c60876fec33b914c232c5c0cb7f98b8c59d86474e0fbdfb08;3c67d502e6f25cad0f08ad3c5c83026c07a8a889bc1cf921edb1e8faa8759f14;be78b36d2124dc1e16e43a3b0d290fe36f2409942597c0ded22e67e79753797a;5a5226f2a903f2c7538ed4e05e034f0f3089d608330e27de6f1288772abfdd7b;0cbee20b34db86ea5d316350cee872a157d1c7d9dd51ec52d21c2a4190a5b967;286cb8ae865c0c5d4fb1539c3adeac64e5a19df83675a8b9e81fcc74a7ce2ee4;dd31a1416df17e75c57d85c3c8fe5794df44ab5645e5103663de08d90e534466;3da80091f2c9a095bce4b8f04d84463c3a436cd5b0d8713374768aeca11f16f5;b3de115cfb027a647023a9d3b3633720ae75db52ac7ef96ee1d49821a575522d;e7de29c6c0f3409bbd5f9ac8559030872d4e2074eaa56a8f9b798afa0e9d1ba3;502654f48f5e1fe6d51304671748eddc256af7fb7588e8bd6b0dd37af9e854df;bb72b8879195363a7da842fab49d1bc26dae361991eb555dc8647b70b03f431f;0e5f0ec0a4582cb60dbdc195892ffeec13ff8321cb003b59e61038b968d064ae;78ec28ce6817e3a18b73fd69a315532eec9841ed9396043849adae161760fba8;ddf5123a8d956755849557b359716c77ad64decb36d1f8b818a8bf64cc85a917;6b0055efc37df29beba96b047170edff9e609ece62aeedd98bbe460ba0c2b949;abdb40ca310b50a8f5c240e5a7929382b268bfdd7984166bff8bd1dcb82fb393;a8f296962c6630df7cc2855aade33d4a33fd385c019d455bb436f57a19a477d6;9a2ac3c048b7d27c2cbf9895e18d3e56d292e1486eab1592f5d5937a4b14f5c9;45b6cafb74a8d14b41bf3883053d594c8483dff2b752447cbdce790cdaf5d646;96cc54914f806d2793afafca227ab6ee58d99d13282c3e70aa2aa665cac15992;296d094652d1dfadba36c9faa5f99695c3bd6e465ce9e9c289a9d2d48c921236;17c0292afa7db103cc9604f2f97df6c2932720c1f61f8f41b2f6b66ca3349960;f5ae508fda9c672b5cfe5840abdaf45805273598102613c53c5690bd65f50d87;1316b6aeb5e56881f26777c1cab6ee0239c5c3bb7630a53c9ee8b3f281072912;f2e975bfdbb9189d6de6cfde70067514bbe3029694ce9234698a6d992877d4f4;57de4f9529fbe1d5037c1014ee2ba24d629eefd7f6e56cb9b0ce3c18bc6df84c;db9e1f7d69d3ddd8f3cbacc42790489d3ff1445a52b944866e8e060924ab161c;e6f551c5088c343b1ade7a98666b59eaa536b5aa3c4804513430382a9b7d65cb;2e483f2b206e47e37881d8d6aa5cca1cd9c47752347c519a7c81812371969ad7;7c7cb767fbea329df31a0295a123607ad28d71c325070d5f8485961a4a491fbb;dee3f5f7b81144a6745a39d72ae116862f666f6a4b11fc60c827d777bfd278b5;bcad3007513931ca71dcc16fc6b145b3214552d0716b102c9b219d520e318449;2dd2f16590decd909ce87bf3a7a61afda31ff953076a1d3bc537a9f8ccacefc7;c04945ff8ec3d76e63f2f98b889a919d865952f4eefb41471f1cac7ad8936113;33b822ef12647272dfb17b5c994a3c02145c06610c5107b2da2fe392a2819854;01b573f6875b4affaa6a8e08060e90edc7022e7b60f72f9a1f1ae2e7aee634b9;bdc3bbb8a64697af2781f3a9e4d759ed707bf39b075da67c5ff51f0581f88bf9;76786a2037f9e808d375a574d00997d813434ef6ccbf740981bf9d0c86920c60;1ff9b21999532adb56d67a45a10b475af8ac0bb4a250592224982a3df09dd4d4,False,independent_molecular_signal_present_direction_unresolved
NR4A2,GENIE3 specific,4,17,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
SMAP2,GENIE3 specific,4,16,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
STAT5B,GENIE3 specific,8,20,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
TGIF1,GENIE3 specific,5,23,False,True,0,0,0,0,0,0,0,0,2,0,0,1,2,0,,tf_activity,d03fa8829ed1c7731eb76626bc408a6b82a65eb1653c59f11d894fa0c76dc4e2;6720c9b67ad6104c08240e5efe9eb66d01a94c103b18617eef0fe1e40134db78;d39629ef349e6d789a46ae2636eeee085020aa159c7bfde6ad7b6ef1e4560dcb;32aa3eb2be305c853cf9557d0351bfc4e649d804dcbb9ea994869621dd9f62e0;aaca120b2ce3b719a3d96dd0b7d6070500cbfe7e5a67bc0f4e319453010619d0;9c2f5d1595004eaf0a0f64a65310a9e2e7a11ba7b372b6a37305192adc48d113;5f2f21283a3711b6cc95a37c43d82fac7b5e1e0a1c1ddd185d831dc7e60ad85b;f50ff0211b1323b337f5d973c6687192412d7f135069f5b96ee1e80b8a2ffed7;c95a6b13e4dfc74b922d7e2e780aa3942d1be63128f9f7a628360f8d57a5ad1a;e9b8392c47916ed7052dc4712ea95bbd993801c1a8cda3ca685b3b873f3ae993;e3bf4e745d54c0d82a0d4064eece11733ce0210a2eaedd818041662a12ef1498;6e2fdce3ad2eee4492ab79da0e6499c969b830159511b762b2473cc6b99a5274;3dd91afbe0c0799f3d15fb943a72923a996ecc7e7d739da774c5182a28bbbd13;f115fdac4fe0531f79cb967d9ab614b36b9def9f0e7fe2c1de4aaa83faaeb821;ae288d91a30f701f66773cd277b11347f343bcadf218fc11b14f4afe39bcb158,False,contextual_or_orthogonal_only
TRAF4,GENIE3 specific,6,21,False,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,afa63994524174b7a4f5a4343dd105c481016c7d5f61ef3fc9ed64bc8f107faa;e8ba7b24b79bedec27801b8be6e4d22cf546f52d1bf88fedf72329f60f1bc43c;20e6b00a5a532c0639430b41a746ea8d2d499c580ff2a181ae66d94da5937ec4;d0ec537ff7d6fc1d735603bc2c0b452563feb0fffeadb774f78cd7cb4257e10b;42d7b7759f9847f133e302a870990cb982d50a4ecf043a2438a5d6f5e1d28a5b;8d582385624b4427fb142673280875bced8a2dfc5f710c8f14ae5d5791d0a2ec,False,no_qualifying_signal_in_evaluated_layers
ZEB2,GENIE3 specific,6,14,False,True,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,165b3ac12977123e517dd6a0add70088e0df01b730cc8dbf8aa222ac8b42887f;85f1d32faacf545dc47daaeae07c8c9c4847bc2edc13a9137afb3a8391a943a5;a82eb78b949a040bb3ae30f0e6f0e2edea2506ed455ef3e90ed2b1aed9d011a0;6a3b14466169bcfa5081859f555ffe2a37491aaa5b0689c493a51f42a11153f9;d3d152b577c538e6c9c4a3df5febab1014263bff183cc867d096bf5cdd8090f1;77d8b861c4c8623d601d50a47abf131cdc141c3b3287c7508f6ccc80dde80afc;2a33c424445fde415450fe919123742617b3c645c54b822c24011408c270f9a2;e096d43e1af8d11be26077d635e71f7fec42cb824da925cad47b584fea54431c;d82958feddff54857bbbac1c90d2019825bf9758656133f6568c1e51e1af9099;3a988e4d88e17b965790603145f869db8b5c9474852e268f8f43e9619f14e45d;6b9c93300d72df244b5edd11edf394ebcfab175f1249a3341e8fc3f8f1f2af31;5bfec15df65e460b4212f25844f333e89aef95b7e7fbd17043c201cd9e948676;5914dd23ec59c572372636954561b83328482ff530ba3c8f3315210bb65909f6;e35a6ad0e458fe096e0b6f834c496931de8a87b2e7bab3fe49785c454ab5ec6c;3ab5a176f009505413225d50d15a4f56707c762009a20bd409bade4d95d6577c,False,no_qualifying_signal_in_evaluated_layers
AHR,GREmLN specific,2,43,True,False,0,0,0,0,0,0,0,0,2,0,0,1,1,0,,tf_activity,bd69b33466af165bb182aa656a4734e03b69477149c5bcaed7116d4ce3199363;06f2da9503bb81d004f35c0e8ea6e42686eeb4d94ffde4e6eae50f4e1eb71303;b86f112440c551f6889a59e2c6e870e75d2c985cc163504172eaed066da81c3c;391ca6594fb88e4e34873fc91ac6165b5d39cf90340ca5f5700a331943e18ce3;f1db7d595e8f420b5b2125e8d050a4417d78ac6a22203aa09471130df9aa7945;20c8743eb7c82fc797b719c7f1b8292a77ffc3c89e590e769a9f0fa86aea98c0;9a146ecd1c51df87d220a40667f7182d8a599704adaf34d8f9bcd17500e0d87a;1db10b1ff00e0e5b062e5a218d75a0ab7b1fd93ecd2185f7c7eb19b0cf12b201;e396e72e3add8aa3e3b406ead7baef28ea97ebb83b9daa2e2be51f31105837c1,False,contextual_or_orthogonal_only
BCL3,GREmLN specific,3,30,True,False,0,0,0,0,0,0,0,0,2,0,0,1,2,1,,tf_activity,b7c8eefaa36158c099c0fba672bcdf57785ee22c332d694e2e5fc141d4104e00;71c3a8661494171dc22ac8285c7fcd4cdb0c539dd9ab136511e081b82f7f25f1;6b08e83ca41392565149f2dc1bb43a677854bfbe72e9e2ef333463f04f595d1c;4f3d5aa0732b7588a28a3476ce66a7adce7de5e0850d211c27c0e443a26bca3f;5e4cfc8972f7e2771dcd205d1c2f440b2dac5c80695ddd1da9b373faa25be301;f1052a8234850b6d98b6407da419ed58166bad81368259ec9b31f9c8140ff1bf;5b66dbcc4fccc902a000238e52406da75238ee52b203b9c49c6374f5739b343b;323431e58e35b0fe82e5684c0f1a73fecd9c4aa85e674a0544574bdce591dbc4;9192efe3f27c1e8f0e325eb30056c8742ac1f24726dd79c1615cfdc2e153aeab;b68911a3b721e942b26d4678c5621bad2d7cad89b457a2268fbea621fe8a0522;2c0da9b54dc10a78b754ab4a2a3e60d236285e1e060d2ab674a76d6f1bdce15e;238a8b7ea92e660d9757848bd81e5e902a6ea2b84ebba387ae8527ac751e2d25;f8c4cba5abd8f909f94e0e962b95f65c35a8fcd9ef24dfd44638feea32823f57;c04ff9595f3a2d218c21cb3b8894201eb593c267c1b00febaa58a34062dd5939;5d881655e35253547ba86b8bdd894e138071ed75cc08b6c46677971995de8c6b,False,contextual_or_orthogonal_only
